barters,estimated_probability,count,frequency
350,8.677808536848703e-7,132,1.2707276742124562e-6
351,8.677808536848703e-7,116,1.116700077338219e-6
352,8.677808536848703e-7,120,1.1552069765567783e-6
353,9.181370070151405e-7,153,1.4728888951098923e-6
354,1.026822304289055e-6,156,1.5017690695238118e-6
355,9.711112066363188e-7,144,1.386248371868134e-6
356,1.1469532537280254e-6,161,1.549902693547011e-6
357,1.2116338520589693e-6,203,1.9542251353418833e-6
358,1.3509137041839438e-6,182,1.7520639144444472e-6
359,1.3509137041839438e-6,199,1.915718236123324e-6
360,1.3509137041839438e-6,215,2.0697458329975614e-6
361,1.5043956791054914e-6,176,1.6943035656166082e-6
362,1.4258035055971306e-6,232,2.233400154676438e-6
363,1.6733272104721234e-6,259,2.4933217244017134e-6
364,1.859045222792929e-6,284,2.7339898445177087e-6
365,1.764000727134854e-6,250,2.406681201159955e-6
366,2.0629807590212522e-6,318,3.0612984878754627e-6
367,2.172254195582531e-6,331,3.1864459103357804e-6
368,2.28666370379948e-6,331,3.1864459103357804e-6
369,2.406416752355585e-6,360,3.465620929670335e-6
370,2.28666370379948e-6,373,3.5907683521306527e-6
371,2.5317275929652575e-6,391,3.7640493986141693e-6
372,2.6628174146497857e-6,398,3.831436472246648e-6
373,2.799914498926153e-6,416,4.004717518730165e-6
374,2.799914498926153e-6,437,4.206878739627601e-6
375,3.249641811007894e-6,434,4.177998565213681e-6
376,3.0930799805706477e-6,529,5.092537421654464e-6
377,3.5840149004122786e-6,472,4.543814107789995e-6
378,3.762366390155712e-6,530,5.102164146459104e-6
379,3.413198085343046e-6,536,5.159924495286943e-6
380,3.762366390155712e-6,584,5.622007285909655e-6
381,4.345494134840058e-6,586,5.641260735518934e-6
382,4.345494134840058e-6,630,6.064836626923086e-6
383,4.5568919566282015e-6,651,6.266997847820522e-6
384,4.5568919566282015e-6,688,6.623186665592196e-6
385,5.0071076380026265e-6,673,6.478785793522598e-6
386,5.496100469654229e-6,786,7.566605696446898e-6
387,5.496100469654229e-6,758,7.297057401916983e-6
388,5.756004600731425e-6,812,7.816900541367533e-6
389,6.0266615915174435e-6,836,8.04794193667889e-6
390,6.0266615915174435e-6,851,8.192342808748487e-6
391,6.6017358640996216e-6,982,9.453443758156304e-6
392,6.906928931332483e-6,941,9.05874804116607e-6
393,7.2244267265595334e-6,978,9.414936858937743e-6
394,6.906928931332483e-6,1049,0.00001009843432006717
395,8.254935998754704e-6,1122,0.000010801185230805878
396,8.254935998754704e-6,1180,0.000011359535269474987
397,8.62589328360123e-6,1209,0.000011638710288809543
398,9.411710914298745e-6,1234,0.000011879378408925537
399,9.011329130958995e-6,1262,0.000012148926703455453
400,9.827517187508304e-6,1356,0.000013053838835091595
401,9.827517187508304e-6,1419,0.000013660322497783905
402,0.000010707374082480398,1447,0.000013929870792313819
403,0.00001117243884412087,1536,0.000014786649299926763
404,0.000011654956612678427,1506,0.000014497847555787569
405,0.000012155463685636678,1587,0.000015277612264963392
406,0.000013212650492826496,1705,0.00001641356579191089
407,0.000013770462688689063,1772,0.000017058556353821762
408,0.000014348529307136197,1839,0.00001770354691573263
409,0.000013770462688689063,1963,0.000018897260791507966
410,0.000015567825171089636,2023,0.000019474864279786353
411,0.000015567825171089636,2128,0.000020485670384273536
412,0.000015567825171089636,2121,0.000020418283310641057
413,0.00001687546092876959,2264,0.000021794904957704552
414,0.000017563999355706984,2295,0.000022093333426648386
415,0.000019013813942194856,2480,0.000023874277515506752
416,0.000019776446904312336,2436,0.000023450701624102602
417,0.000019776446904312336,2665,0.000025655221604365118
418,0.000019776446904312336,2664,0.00002564559487956048
419,0.000022223658048469245,2809,0.00002704146997623325
420,0.000022223658048469245,2949,0.000028389211448882826
421,0.00002399515751860512,2971,0.000028600999394584905
422,0.000024925162127261997,3093,0.000029775459820750963
423,0.00002399515751860512,3308,0.000031845205653748524
424,0.000025885698898336994,3386,0.00003259609018851043
425,0.000027901533110865755,3572,0.00003438666100217343
426,0.00002687755565423877,3499,0.00003368391009143473
427,0.000028958444854310635,3610,0.00003475247654474975
428,0.00003004911730931438,3942,0.000037948549179890165
429,0.00003117438969908557,3938,0.00003791004228067161
430,0.0000323351139965541,4249,0.00004090395369491459
431,0.000033532154866891396,4174,0.000040181949334566606
432,0.000036038708038644414,4477,0.00004309884695037247
433,0.00003476638960074386,4593,0.00004421554702771069
434,0.000037350012486011926,4721,0.00004544776780270459
435,0.00004009325037849706,4815,0.00004635267993434073
436,0.00004152704986064948,5161,0.00004968352671674611
437,0.000043003567189034985,5274,0.00005077134661967041
438,0.000043003567189034985,5348,0.00005148372425521375
439,0.00004452376538330885,5594,0.00005385189855715515
440,0.00004608861921525431,5712,0.00005498785208410265
441,0.00004769911505511161,5932,0.00005710573154112341
442,0.000051061035236795596,6197,0.00005965681361435296
443,0.00005281448878301711,6413,0.00006173618617215516
444,0.00005281448878301711,6592,0.00006345936991218568
445,0.000054617642365543714,6795,0.00006541359504752757
446,0.000058377226870025445,7121,0.00006855190733384016
447,0.000056471537677815,7368,0.0000709297083605862
448,0.00006033577232220684,7486,0.00007206566188753368
449,0.00006441573123350571,7628,0.00007343265680979255
450,0.000058377226870025445,7879,0.00007584896473575714
451,0.00006653931840149935,8071,0.00007769729589824799
452,0.0000687201087161309,8466,0.00008149985219608071
453,0.00007325774636563104,8800,0.00008471517828083041
